Year,Value
2025,219.0
2024,211.0
2023,201.0
2022,200.0
2021,204.0
2020,177.0
2019,198.0
2018,196.0
2017,202.0
2016,203.0
2015,192.0
2014,178.0
2013,164.0
2012,137.0
2011,172.0
2010,165.0
2009,181.0
2008,171.0
2007,171.0
2006,166.0
2005,173.0
2004,181.0
2003,157.0
2002,163.0
2001,146.0
2000,144.0
1999,149.0
1998,145.0
1997,138.0
1996,138.0
1995,123.0
1994,152.0
1993,80.0
1992,147.0
1991,117.0
1990,126.0
1989,118.0
1988,84.0
1987,130.0
1986,135.0
1985,126.0
1984,112.0
1983,87.0
1982,120.0
1981,125.0
1980,110.0
1979,127.0
1978,115.0
1977,86.0
1976,91.0
1975,90.0
1974,80.0
1973,107.0
1972,116.0
1971,102.0
1970,86.0
1969,99.0
1968,93.0
1967,88.5
1966,89.0
1965,82.0
1964,77.5
1963,80.0
1962,77.0
1961,75.5
1960,63.5
1959,65.0
1958,66.0
1957,62.0
1956,53.5
1955,48.5
1954,54.5
1953,53.0
1952,62.5
1951,43.5
1950,48.5
1949,47.0
1948,60.5
1947,31.0
1946,57.0
1945,44.5
1944,52.5
1943,55.0
1942,60.0
1941,51.0
1940,52.5
1939,52.2
1938,46.0
1937,45.0
1936,20.0
1935,38.0
1934,28.2
1933,40.0
1932,43.0
1931,32.9
1930,34.0
1929,40.2
1928,41.5
1927,35.0
1926,39.0
1925,43.9
1924,28.0
1923,40.5
1922,45.0
1921,43.0
1920,46.0
1919,41.6
1918,37.0
1917,38.5
1916,38.0
1915,32.5
1914,40.5
1913,37.5
1912,46.0
1911,35.5
1910,41.5
1909,37.1
1908,38.0
1907,35.0
1906,45.5
1905,41.5
1904,39.0
1903,32.5
1902,38.0
1901,28.5
1900,45.0
1899,39.1
1898,36.0
1897,33.5
1896,43.0
1895,39.0
1894,15.0
1893,37.5
1892,30.5
1891,40.5
1890,28.0
1889,41.3
1888,39.5
1887,30.0
1886,29.0
1885,36.5
1884,39.5
1883,29.0
1882,30.5
1881,30.0
1880,39.5
1879,41.6
1878,40.5
1877,33.5
1876,34.0
1875,35.0
1874,34.0
1873,32.5
1872,41.0
1871,43.5
1870,40.0
1869,33.5
1868,40.5
1867,41.0
1866,32.0
